Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
99,96,99,google.com,179,173.194.206.189,us,2017-04-08,2018-11-21
98,90,95,youtube.com,10,173.194.209.93,us,2017-06-19,2018-11-21
96,90,80,blogger.com,1,108.177.11.191,us,2018-10-27,2018-10-27
96,89,90,wordpress.org,14,66.155.40.250,ca,2017-06-29,2018-11-21
95,88,90,microsoft.com,15,104.20.199.45,us,2018-03-23,2018-11-21
95,83,88,wikipedia.org,373,74.125.22.121,us,2015-06-14,2018-11-21
94,80,86,pinterest.com,1,151.101.32.84,us,2017-01-19,2018-10-10
94,85,90,apple.com,1,23.13.177.54,us,2018-01-07,2018-10-05
94,83,87,vimeo.com,61,151.101.0.217,us,2013-10-09,2018-11-21
94,81,85,goo.gl,178,74.125.141.113,us,2017-04-29,2018-11-22
93,79,84,amazon.com,46,176.32.103.114,us,2014-01-22,2018-11-21
93,75,82,bit.ly,253,67.199.248.11,us,2016-12-22,2018-11-21
93,83,87,adobe.com,235,67.222.101.124,us,2017-01-22,2018-11-22
93,76,80,flickr.com,18,69.147.82.60,us,2017-11-02,2018-11-19
92,76,73,google.de,1,173.194.216.138,us,2018-11-19,2018-11-19
92,76,75,weebly.com,998,199.34.228.53,us,2017-04-15,2018-11-22
92,76,81,yahoo.com,207,74.6.144.139,us,2017-04-03,2018-11-22
92,72,78,t.co,1,199.16.156.75,us,2018-11-15,2018-11-15
92,78,73,baidu.com,2,111.202.114.53,cn,2017-08-30,2018-11-16
91,76,79,ec.europa.eu,8,13.32.22.244,us,2018-03-22,2018-11-04
91,73,79,nytimes.com,171,151.101.201.164,us,2016-08-24,2018-11-21
91,76,79,w3.org,17,128.30.52.30,us,2017-04-11,2018-11-19
91,75,80,yandex.ru,745,213.180.204.183,ru,2017-06-17,2018-11-22
91,68,73,bbc.co.uk,58,212.58.246.92,gb,2016-09-14,2018-11-20
91,87,86,godaddy.com,15,23.75.228.71,us,2017-03-14,2018-11-19
91,73,78,soundcloud.com,4,52.85.248.135,us,2016-11-20,2018-11-19
91,82,87,github.com,4,192.30.253.113,us,2017-12-21,2018-10-30
91,73,78,creativecommons.org,19,104.20.150.16,us,2013-06-20,2018-11-21
