Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
99,96,99,google.com,47948,74.125.22.189,us,2017-04-01,2018-11-22
98,90,95,youtube.com,41,216.239.32.21,us,2017-07-06,2018-11-20
96,90,80,blogger.com,4,172.217.7.169,us,2017-07-15,2018-10-13
96,89,90,wordpress.org,184,66.155.40.249,ca,2017-07-16,2018-11-21
95,88,90,microsoft.com,127,23.49.183.10,us,2017-04-27,2018-11-21
95,87,90,linkedin.com,2,108.174.10.14,us,2018-10-01,2018-11-16
95,83,88,wikipedia.org,1737,208.80.154.224,us,2014-10-04,2018-11-22
94,80,86,pinterest.com,7,151.101.32.84,us,2017-01-25,2018-10-28
94,85,90,apple.com,43,23.49.179.145,us,2017-08-19,2018-11-20
94,83,87,vimeo.com,103,151.101.128.217,us,2016-01-18,2018-11-21
94,81,85,goo.gl,325,74.125.141.102,us,2017-02-22,2018-11-22
93,79,84,amazon.com,39,176.32.103.118,us,2017-04-28,2018-11-16
93,75,82,bit.ly,371,67.199.248.10,us,2016-11-25,2018-11-21
93,83,87,adobe.com,1833,67.222.101.124,us,2016-12-19,2018-11-22
93,76,80,flickr.com,27,69.147.82.60,us,2018-05-22,2018-11-19
92,76,73,google.de,3,108.177.12.102,us,2018-10-22,2018-11-21
92,76,75,weebly.com,2192,199.34.228.54,us,2017-04-03,2018-11-22
92,76,81,yahoo.com,505,98.136.100.143,us,2017-03-31,2018-11-22
92,72,78,t.co,3,199.16.156.75,us,2018-07-29,2018-10-10
92,87,93,cloudflare.com,6,104.19.203.29,us,2017-12-30,2018-11-21
92,78,73,baidu.com,1,103.235.46.140,hk,2018-11-03,2018-11-08
91,76,79,ec.europa.eu,3,54.230.19.100,us,2017-12-30,2018-10-02
91,73,79,nytimes.com,464,151.101.33.164,us,2017-01-25,2018-11-22
91,76,79,w3.org,18,128.30.52.41,us,2016-04-11,2018-11-18
91,75,80,yandex.ru,5,213.180.204.211,ru,2018-06-13,2018-10-27
91,68,73,bbc.co.uk,113,176.34.135.244,ie,2016-09-08,2018-11-21
91,87,86,godaddy.com,34,23.75.228.71,us,2017-03-14,2018-11-19
91,73,78,soundcloud.com,63,104.196.1.106,us,2016-12-30,2018-11-21
91,82,87,github.com,30,192.30.253.119,us,2014-10-02,2018-11-20
91,73,78,creativecommons.org,433,104.20.151.16,us,2013-08-04,2018-11-21
91,78,83,mozilla.org,651,52.39.94.93,us,2016-11-27,2018-11-22
90,68,74,theguardian.com,710,151.101.249.111,us,2014-04-23,2018-11-21
90,68,75,cnn.com,664,192.0.79.33,us,2013-08-04,2018-11-21
90,72,74,gravatar.com,3,192.0.80.239,us,2017-07-05,2018-11-09
90,69,74,feedburner.com,6,172.217.193.118,us,2017-01-16,2018-10-18
90,73,71,google.co.jp,6,173.194.217.102,us,2018-10-21,2018-11-17
90,69,74,issuu.com,4,54.174.133.22,us,2018-04-02,2018-11-18
90,65,70,tinyurl.com,328,104.20.218.42,us,2013-10-08,2018-11-22
90,76,81,amazonaws.com,2598,79.125.124.178,ie,2017-05-12,2018-11-22
89,69,76,forbes.com,1361,151.101.34.49,us,2016-12-10,2018-11-22
89,65,63,sina.com.cn,22,218.30.115.123,cn,2016-12-19,2018-11-18
89,72,76,opera.com,7,54.93.158.180,de,2017-04-26,2018-11-17
89,69,74,archive.org,45,207.241.226.111,us,2016-10-28,2018-11-20
